dt,pref,city,NPS,cnt,NPS0,NPS1,NPS2,NPS3,NPS4,NPS5,NPS6,NPS7,NPS8,NPS9,NPS10
2025-05,石川県,輪島市,0.0,1,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%
2025-05,福井県,美浜町,-2.4,85,0%,0%,1%,2%,5%,11%,8%,22%,26%,11%,14%
2025-05,福井県,敦賀市,-6.8,117,0%,2%,3%,4%,3%,12%,10%,9%,31%,9%,17%
2025-05,福井県,おおい町,-16.2,37,0%,0%,0%,3%,3%,19%,14%,14%,27%,8%,14%
2025-06,石川県,能美市,100.0,2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
2025-06,石川県,宝達志水町,100.0,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
2025-06,富山県,入善町,66.7,3,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,67%
2025-06,石川県,七尾市,60.0,5,0%,0%,0%,0%,0%,0%,0%,0%,40%,20%,40%
2025-06,富山県,滑川市,60.0,5,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,80%
2025-06,富山県,南砺市,58.3,12,0%,0%,0%,0%,0%,8%,0%,8%,17%,33%,33%
2025-06,富山県,高岡市,55.0,20,0%,0%,0%,0%,0%,5%,0%,15%,20%,20%,40%
2025-06,富山県,小矢部市,54.5,11,0%,9%,0%,0%,0%,0%,9%,0%,9%,9%,64%
2025-06,富山県,上市町,50.0,6,17%,0%,0%,0%,0%,0%,0%,0%,17%,0%,67%
2025-06,富山県,富山市,48.0,75,0%,0%,0%,0%,1%,5%,1%,7%,29%,13%,43%
2025-06,石川県,小松市,46.4,28,4%,0%,0%,0%,4%,0%,0%,7%,32%,21%,32%
2025-06,福井県,南越前町,42.1,38,0%,0%,0%,0%,3%,8%,3%,16%,16%,13%,42%
2025-06,石川県,金沢市,40.6,138,0%,1%,1%,0%,1%,4%,7%,9%,25%,12%,42%
2025-06,石川県,白山市,39.1,23,0%,0%,0%,0%,4%,0%,4%,13%,30%,13%,35%
2025-06,富山県,立山町,38.9,18,0%,0%,0%,0%,0%,11%,0%,17%,22%,6%,44%
2025-06,富山県,砺波市,37.5,24,0%,0%,0%,0%,0%,8%,0%,8%,38%,13%,33%
2025-06,富山県,黒部市,33.3,33,0%,0%,3%,0%,6%,6%,0%,12%,24%,3%,45%
2025-06,福井県,小浜市,30.4,112,0%,0%,1%,2%,0%,6%,5%,14%,27%,19%,26%
2025-06,福井県,勝山市,28.6,294,0%,0%,1%,2%,1%,7%,5%,13%,23%,14%,32%
2025-06,富山県,朝日町,28.6,7,0%,0%,0%,0%,14%,14%,0%,0%,14%,14%,43%
2025-06,福井県,あわら市,27.3,176,0%,0%,1%,2%,2%,5%,5%,10%,33%,13%,29%
2025-06,福井県,坂井市,23.9,113,1%,0%,0%,0%,2%,4%,6%,19%,32%,15%,21%
2025-06,福井県,おおい町,23.5,17,0%,0%,0%,0%,0%,18%,6%,18%,12%,24%,24%
2025-06,石川県,加賀市,20.8,24,0%,0%,0%,0%,0%,13%,8%,13%,25%,21%,21%
2025-06,福井県,永平寺町,20.2,168,0%,0%,0%,2%,0%,7%,4%,14%,40%,8%,25%
2025-06,福井県,福井市,19.1,183,0%,1%,2%,2%,1%,7%,6%,13%,29%,11%,27%
2025-06,福井県,越前市,18.2,132,0%,1%,2%,2%,2%,8%,7%,8%,30%,8%,33%
2025-06,福井県,若狭町,15.0,80,0%,0%,4%,3%,0%,11%,6%,15%,23%,16%,23%
2025-06,富山県,氷見市,14.6,41,0%,0%,2%,0%,0%,15%,5%,15%,27%,12%,24%
2025-06,福井県,越前町,12.2,74,0%,0%,0%,4%,3%,9%,11%,12%,22%,15%,24%
2025-06,福井県,美浜町,9.7,62,0%,0%,0%,0%,2%,15%,6%,16%,29%,10%,23%
2025-06,福井県,池田町,5.7,87,0%,0%,3%,0%,2%,13%,6%,10%,36%,8%,22%
2025-06,福井県,鯖江市,3.6,28,0%,0%,4%,0%,4%,11%,7%,14%,32%,11%,18%
2025-06,富山県,射水市,3.4,29,0%,3%,0%,3%,7%,7%,7%,21%,21%,3%,28%
2025-06,福井県,高浜町,2.9,34,0%,6%,0%,9%,3%,9%,0%,12%,32%,9%,21%
2025-06,福井県,大野市,1.5,136,0%,1%,2%,3%,3%,10%,7%,19%,26%,9%,19%
2025-06,石川県,羽咋市,0.0,5,0%,0%,0%,0%,0%,40%,0%,0%,20%,40%,0%
2025-06,福井県,敦賀市,-7.5,93,0%,2%,1%,3%,2%,15%,11%,13%,26%,14%,13%
2025-06,石川県,輪島市,-14.3,7,0%,0%,0%,0%,0%,14%,14%,29%,29%,0%,14%
2025-06,富山県,魚津市,-20.0,15,0%,7%,0%,7%,0%,27%,13%,7%,7%,0%,33%
2025-07,石川県,穴水町,75.0,4,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,75%
2025-07,富山県,高岡市,68.8,16,0%,0%,0%,0%,0%,0%,0%,6%,25%,19%,50%
2025-07,富山県,立山町,60.0,20,0%,0%,0%,0%,0%,0%,5%,5%,25%,20%,45%
2025-07,石川県,能美市,53.3,30,0%,0%,0%,0%,0%,7%,3%,7%,20%,7%,57%
2025-07,石川県,七尾市,50.0,4,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,75%
2025-07,富山県,射水市,47.1,17,0%,0%,0%,6%,0%,0%,6%,6%,24%,12%,47%
2025-07,福井県,南越前町,45.2,42,0%,0%,2%,0%,2%,10%,2%,10%,12%,10%,52%
2025-07,石川県,加賀市,44.4,27,4%,0%,0%,0%,0%,7%,4%,11%,15%,30%,30%
2025-07,富山県,南砺市,44.4,9,0%,0%,0%,0%,0%,0%,0%,22%,33%,0%,44%
2025-07,富山県,砺波市,41.7,12,0%,0%,0%,0%,0%,0%,0%,17%,42%,8%,33%
2025-07,福井県,勝山市,39.7,287,0%,0%,0%,1%,1%,4%,3%,16%,25%,16%,33%
2025-07,石川県,輪島市,38.5,13,0%,0%,0%,0%,0%,8%,0%,8%,38%,0%,46%
2025-07,石川県,白山市,37.7,69,0%,0%,0%,3%,4%,7%,1%,9%,22%,16%,38%
2025-07,石川県,金沢市,36.3,234,1%,0%,2%,0%,2%,5%,4%,8%,27%,12%,39%
2025-07,福井県,あわら市,35.9,184,2%,1%,0%,1%,1%,7%,4%,7%,27%,18%,33%
2025-07,富山県,富山市,33.3,48,0%,0%,0%,0%,0%,10%,4%,13%,25%,8%,40%
2025-07,福井県,小浜市,32.7,101,0%,0%,1%,1%,4%,6%,5%,8%,26%,17%,33%
2025-07,福井県,鯖江市,29.4,17,0%,0%,0%,6%,6%,0%,0%,24%,24%,24%,18%
2025-07,石川県,小松市,28.6,126,1%,0%,1%,0%,2%,12%,3%,13%,22%,10%,37%
2025-07,富山県,黒部市,28.6,7,14%,0%,0%,0%,0%,0%,0%,14%,29%,14%,29%
2025-07,富山県,魚津市,28.6,14,0%,0%,0%,0%,0%,7%,7%,0%,43%,7%,36%
2025-07,富山県,小矢部市,28.6,7,0%,0%,0%,14%,0%,0%,0%,29%,14%,0%,43%
2025-07,福井県,越前市,26.4,197,1%,0%,2%,2%,1%,8%,5%,13%,24%,12%,32%
2025-07,福井県,若狭町,25.4,67,0%,1%,0%,0%,0%,10%,4%,13%,28%,13%,28%
2025-07,福井県,福井市,24.1,170,2%,1%,1%,1%,1%,5%,4%,9%,38%,8%,30%
2025-07,福井県,池田町,22.8,92,0%,0%,3%,0%,0%,9%,4%,17%,27%,10%,29%
2025-07,富山県,氷見市,22.7,44,0%,0%,2%,0%,2%,9%,5%,20%,20%,7%,34%
2025-07,福井県,越前町,18.8,64,0%,0%,2%,3%,3%,16%,3%,9%,19%,13%,33%
2025-07,福井県,永平寺町,16.3,135,0%,0%,2%,2%,1%,9%,6%,12%,32%,10%,26%
2025-07,福井県,敦賀市,14.5,62,0%,0%,0%,2%,5%,10%,5%,10%,34%,10%,26%
2025-07,福井県,おおい町,13.6,22,0%,0%,0%,5%,9%,0%,5%,23%,27%,14%,18%
2025-07,福井県,坂井市,12.6,103,0%,0%,0%,4%,4%,7%,4%,16%,35%,11%,20%
2025-07,福井県,美浜町,6.9,58,0%,0%,3%,2%,3%,10%,3%,14%,34%,10%,19%
2025-07,福井県,大野市,5.9,102,0%,0%,1%,1%,4%,12%,9%,14%,27%,12%,21%
2025-07,福井県,高浜町,0.0,32,0%,0%,6%,0%,0%,3%,22%,19%,19%,13%,19%
2025-07,石川県,羽咋市,0.0,10,0%,0%,0%,0%,0%,10%,10%,10%,50%,20%,0%
2025-07,富山県,滑川市,0.0,1,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
2025-07,富山県,朝日町,0.0,4,0%,0%,25%,0%,0%,0%,0%,50%,0%,0%,25%
2025-07,富山県,入善町,-20.0,5,0%,0%,0%,0%,0%,0%,20%,20%,60%,0%,0%
2025-07,富山県,上市町,-33.3,6,0%,0%,0%,0%,0%,17%,17%,50%,17%,0%,0%
2025-08,石川県,珠洲市,100.0,4,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%
2025-08,石川県,志賀町,100.0,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
2025-08,石川県,能登町,100.0,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
2025-08,富山県,立山町,77.8,9,0%,0%,0%,0%,0%,0%,0%,0%,22%,11%,67%
2025-08,富山県,入善町,75.0,4,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,75%
2025-08,富山県,高岡市,54.5,11,0%,0%,0%,0%,0%,0%,0%,27%,18%,9%,45%
2025-08,石川県,羽咋市,51.1,137,0%,0%,0%,1%,0%,6%,4%,4%,23%,11%,51%
2025-08,石川県,七尾市,46.2,13,0%,0%,0%,0%,0%,0%,8%,8%,31%,23%,31%
2025-08,富山県,黒部市,42.9,7,0%,0%,0%,0%,0%,0%,0%,0%,57%,0%,43%
2025-08,富山県,上市町,40.0,15,0%,0%,0%,0%,0%,7%,0%,20%,27%,7%,40%
2025-08,福井県,越前市,38.4,138,0%,1%,1%,1%,1%,7%,4%,12%,21%,13%,40%
2025-08,福井県,勝山市,37.5,411,0%,0%,1%,0%,1%,7%,5%,13%,22%,18%,33%
2025-08,富山県,富山市,37.5,48,0%,0%,0%,2%,0%,2%,4%,17%,29%,19%,27%
2025-08,富山県,魚津市,37.0,27,0%,0%,0%,4%,4%,0%,7%,4%,30%,15%,37%
2025-08,石川県,金沢市,36.9,347,0%,0%,1%,1%,1%,7%,3%,13%,27%,14%,34%
2025-08,石川県,輪島市,36.4,11,0%,0%,0%,0%,0%,9%,0%,18%,27%,18%,27%
2025-08,石川県,小松市,33.8,299,0%,0%,1%,2%,1%,6%,3%,10%,28%,13%,35%
2025-08,富山県,射水市,33.3,15,0%,0%,0%,0%,7%,7%,0%,7%,33%,7%,40%
2025-08,富山県,滑川市,33.3,3,0%,0%,0%,0%,0%,0%,0%,67%,0%,0%,33%
2025-08,福井県,南越前町,32.1,78,0%,0%,0%,3%,0%,4%,3%,17%,33%,14%,27%
2025-08,石川県,加賀市,31.1,90,0%,0%,0%,0%,2%,2%,10%,13%,27%,10%,36%
2025-08,福井県,あわら市,29.6,186,1%,0%,1%,1%,1%,10%,2%,11%,30%,15%,30%
2025-08,石川県,白山市,29.5,166,0%,0%,1%,2%,1%,8%,4%,11%,28%,15%,30%
2025-08,富山県,南砺市,27.3,11,0%,0%,0%,0%,0%,9%,18%,0%,18%,18%,36%
2025-08,福井県,永平寺町,26.6,248,0%,0%,0%,1%,2%,9%,4%,11%,29%,15%,28%
2025-08,富山県,氷見市,25.9,54,2%,0%,4%,2%,0%,7%,6%,15%,19%,9%,37%
2025-08,福井県,越前町,25.5,102,0%,0%,2%,2%,1%,6%,5%,18%,25%,14%,27%
2025-08,福井県,小浜市,22.0,150,0%,0%,0%,2%,1%,9%,9%,14%,20%,13%,31%
2025-08,福井県,福井市,21.3,164,1%,0%,0%,2%,2%,9%,6%,12%,29%,15%,25%
2025-08,福井県,おおい町,20.0,35,0%,0%,0%,3%,3%,11%,0%,17%,29%,9%,29%
2025-08,石川県,能美市,18.2,22,0%,0%,0%,0%,0%,5%,14%,9%,36%,9%,27%
2025-08,福井県,坂井市,16.8,101,0%,1%,0%,3%,1%,8%,9%,12%,28%,12%,27%
2025-08,富山県,朝日町,14.3,7,0%,0%,0%,0%,0%,14%,14%,0%,29%,0%,43%
2025-08,福井県,池田町,13.7,139,1%,0%,0%,1%,1%,11%,3%,17%,35%,7%,24%
2025-08,福井県,大野市,13.6,177,0%,0%,1%,1%,2%,7%,11%,15%,27%,14%,22%
2025-08,福井県,美浜町,10.1,69,0%,0%,0%,0%,0%,9%,10%,22%,30%,10%,19%
2025-08,福井県,若狭町,7.8,102,1%,2%,1%,0%,3%,12%,8%,12%,27%,18%,17%
2025-08,富山県,砺波市,0.0,21,0%,0%,0%,0%,5%,5%,24%,10%,24%,14%,19%
2025-08,福井県,鯖江市,-3.0,33,0%,0%,0%,0%,6%,12%,12%,21%,21%,15%,12%
2025-08,福井県,敦賀市,-4.6,87,0%,0%,1%,2%,3%,15%,9%,11%,31%,10%,16%
2025-08,福井県,高浜町,-22.6,31,3%,0%,6%,6%,3%,13%,6%,16%,29%,6%,10%
2025-08,富山県,小矢部市,-33.3,3,0%,0%,0%,0%,0%,0%,33%,0%,67%,0%,0%
2025-08,石川県,宝達志水町,-100.0,1,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
2025-09,富山県,砺波市,100.0,5,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,60%
2025-09,富山県,入善町,100.0,2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
2025-09,富山県,滑川市,75.0,4,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,75%
2025-09,石川県,輪島市,57.1,7,0%,0%,0%,0%,0%,0%,0%,14%,29%,0%,57%
2025-09,石川県,宝達志水町,50.0,2,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,50%
2025-09,石川県,七尾市,46.8,139,0%,0%,1%,1%,2%,2%,6%,6%,23%,13%,46%
2025-09,石川県,白山市,44.8,87,0%,0%,1%,0%,1%,5%,3%,7%,28%,15%,40%
2025-09,富山県,魚津市,44.4,9,0%,0%,0%,0%,0%,0%,11%,11%,22%,22%,33%
2025-09,富山県,高岡市,43.8,16,0%,0%,0%,0%,0%,0%,6%,6%,38%,31%,19%
2025-09,富山県,上市町,42.9,7,0%,0%,0%,0%,0%,0%,0%,43%,14%,14%,29%
2025-09,石川県,能美市,40.0,30,0%,0%,0%,0%,0%,7%,0%,20%,27%,13%,33%
2025-09,石川県,羽咋市,39.1,69,0%,1%,1%,0%,0%,3%,1%,10%,36%,10%,36%
2025-09,福井県,南越前町,37.0,73,0%,0%,0%,0%,0%,7%,8%,12%,21%,15%,37%
2025-09,石川県,金沢市,35.4,311,0%,0%,1%,1%,1%,6%,5%,9%,27%,16%,34%
2025-09,富山県,射水市,33.3,6,0%,0%,0%,0%,0%,0%,0%,17%,50%,17%,17%
2025-09,福井県,あわら市,31.9,232,0%,0%,0%,0%,0%,8%,8%,14%,21%,10%,38%
2025-09,福井県,勝山市,31.6,396,0%,0%,0%,1%,1%,8%,6%,11%,26%,13%,34%
2025-09,石川県,加賀市,30.9,178,0%,1%,2%,2%,1%,6%,4%,13%,25%,13%,33%
2025-09,福井県,福井市,30.6,160,1%,0%,1%,1%,0%,7%,7%,13%,25%,14%,33%
2025-09,福井県,池田町,29.9,107,0%,0%,1%,6%,0%,7%,6%,7%,25%,16%,33%
2025-09,富山県,南砺市,28.6,7,0%,0%,0%,0%,14%,0%,0%,0%,43%,29%,14%
2025-09,福井県,永平寺町,26.5,200,0%,0%,1%,1%,2%,10%,3%,15%,27%,11%,32%
2025-09,福井県,鯖江市,25.0,40,0%,0%,0%,0%,0%,8%,10%,15%,25%,15%,28%
2025-09,福井県,小浜市,24.4,123,0%,0%,0%,2%,2%,4%,11%,12%,24%,11%,33%
2025-09,福井県,若狭町,21.8,87,0%,1%,1%,1%,3%,11%,3%,8%,26%,13%,31%
2025-09,福井県,越前町,18.3,104,0%,0%,0%,0%,1%,12%,10%,20%,17%,13%,27%
2025-09,福井県,大野市,17.4,236,1%,0%,1%,3%,1%,12%,3%,16%,23%,8%,31%
2025-09,石川県,小松市,16.8,214,1%,1%,1%,1%,2%,10%,5%,16%,24%,10%,28%
2025-09,富山県,富山市,15.8,38,0%,0%,3%,0%,0%,13%,13%,5%,21%,16%,29%
2025-09,福井県,おおい町,13.0,46,2%,0%,2%,0%,0%,11%,4%,22%,26%,4%,28%
2025-09,福井県,美浜町,12.7,63,0%,0%,0%,5%,3%,11%,5%,13%,27%,19%,17%
2025-09,富山県,氷見市,11.1,63,0%,0%,3%,6%,3%,11%,5%,8%,24%,6%,33%
2025-09,福井県,敦賀市,10.7,122,0%,2%,1%,1%,5%,7%,7%,13%,32%,9%,24%
2025-09,富山県,黒部市,10.0,10,0%,0%,0%,10%,0%,20%,0%,0%,30%,10%,30%
2025-09,富山県,立山町,10.0,10,0%,0%,0%,0%,0%,10%,20%,10%,20%,10%,30%
2025-09,福井県,越前市,6.5,214,0%,0%,1%,3%,2%,11%,8%,17%,25%,9%,23%
2025-09,福井県,坂井市,5.9,118,2%,2%,0%,1%,0%,12%,13%,13%,24%,10%,25%
2025-09,石川県,珠洲市,0.0,6,0%,0%,0%,0%,0%,17%,17%,17%,17%,0%,33%
2025-09,富山県,朝日町,0.0,4,0%,0%,0%,0%,25%,0%,0%,0%,50%,0%,25%
2025-09,福井県,高浜町,-14.3,21,10%,5%,5%,0%,0%,14%,10%,14%,14%,10%,19%
2025-09,石川県,志賀町,-50.0,2,0%,0%,0%,0%,0%,50%,0%,0%,50%,0%,0%
2025-10,富山県,上市町,100.0,3,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,67%
2025-10,富山県,入善町,100.0,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
2025-10,石川県,志賀町,100.0,2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
2025-10,富山県,砺波市,62.5,8,0%,0%,0%,0%,0%,0%,0%,0%,38%,0%,63%
2025-10,富山県,立山町,60.0,5,0%,0%,0%,0%,0%,0%,0%,0%,40%,40%,20%
2025-10,富山県,射水市,57.9,19,0%,0%,0%,0%,0%,5%,0%,5%,26%,11%,53%
2025-10,石川県,七尾市,55.2,384,1%,0%,0%,1%,1%,2%,3%,9%,22%,14%,48%
2025-10,富山県,魚津市,53.3,15,0%,0%,0%,0%,0%,7%,0%,7%,27%,0%,60%
2025-10,富山県,高岡市,51.7,29,0%,0%,0%,3%,0%,7%,3%,10%,10%,17%,48%
2025-10,石川県,羽咋市,44.4,27,0%,0%,4%,0%,0%,0%,0%,19%,30%,11%,37%
2025-10,富山県,南砺市,43.8,16,0%,0%,0%,0%,6%,6%,0%,13%,19%,13%,44%
2025-10,石川県,金沢市,39.2,311,0%,0%,1%,1%,1%,5%,4%,9%,29%,13%,38%
2025-10,石川県,白山市,37.9,66,0%,0%,0%,0%,2%,5%,6%,14%,24%,12%,38%
2025-10,富山県,富山市,33.3,36,0%,0%,0%,3%,0%,8%,0%,17%,28%,11%,33%
2025-10,石川県,珠洲市,33.3,6,0%,0%,0%,0%,0%,17%,0%,0%,33%,0%,50%
2025-10,富山県,小矢部市,33.3,3,0%,0%,0%,0%,0%,0%,0%,33%,33%,0%,33%
2025-10,石川県,加賀市,25.8,275,1%,1%,1%,1%,0%,7%,5%,13%,29%,8%,34%
