dt,pref,city,NPS,cnt,NPS0,NPS1,NPS2,NPS3,NPS4,NPS5,NPS6,NPS7,NPS8,NPS9,NPS10
2025-04,石川県,能美市,100.0,4,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,75%
2025-04,富山県,砺波市,100.0,3,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
2025-04,石川県,輪島市,100.0,2,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%
2025-04,石川県,羽咋市,83.3,6,0%,0%,0%,0%,0%,0%,0%,0%,17%,33%,50%
2025-04,石川県,白山市,77.8,9,0%,0%,0%,0%,0%,0%,0%,11%,11%,0%,78%
2025-04,福井県,勝山市,40.4,141,0%,0%,1%,1%,0%,9%,3%,9%,23%,11%,44%
2025-04,福井県,福井市,35.2,91,0%,0%,0%,3%,0%,7%,5%,13%,21%,14%,36%
2025-04,福井県,越前市,34.2,111,0%,0%,1%,3%,2%,9%,5%,7%,19%,7%,47%
2025-04,富山県,射水市,33.3,3,0%,0%,0%,0%,0%,0%,0%,33%,33%,33%,0%
2025-04,石川県,金沢市,32.6,86,1%,0%,2%,1%,0%,6%,7%,14%,19%,13%,37%
2025-04,福井県,あわら市,26.5,98,2%,0%,1%,2%,2%,7%,7%,10%,20%,23%,24%
2025-04,福井県,永平寺町,25.2,119,0%,0%,0%,2%,2%,8%,3%,14%,32%,6%,34%
2025-04,富山県,立山町,25.0,4,0%,0%,0%,0%,0%,25%,0%,25%,0%,0%,50%
2025-04,富山県,富山市,22.2,18,0%,0%,0%,0%,0%,17%,6%,0%,33%,6%,39%
2025-04,福井県,大野市,17.9,56,0%,0%,0%,2%,2%,11%,4%,20%,27%,7%,29%
2025-04,石川県,加賀市,14.3,14,0%,0%,0%,0%,0%,21%,7%,0%,29%,14%,29%
2025-04,福井県,若狭町,10.5,38,0%,0%,3%,5%,3%,8%,13%,13%,13%,11%,32%
2025-04,富山県,高岡市,10.0,10,0%,0%,10%,0%,0%,10%,10%,20%,10%,10%,30%
2025-04,福井県,小浜市,9.4,64,0%,2%,2%,3%,3%,11%,8%,11%,23%,16%,22%
2025-04,福井県,坂井市,9.1,44,0%,0%,0%,2%,2%,11%,5%,7%,43%,9%,20%
2025-04,福井県,南越前町,7.1,14,0%,0%,0%,0%,7%,29%,0%,7%,14%,7%,36%
2025-04,富山県,氷見市,7.1,14,0%,0%,0%,7%,0%,21%,0%,7%,29%,7%,29%
2025-04,石川県,小松市,5.6,18,6%,0%,0%,6%,0%,11%,0%,6%,44%,6%,22%
2025-04,福井県,池田町,2.4,42,0%,0%,0%,2%,7%,10%,0%,12%,48%,7%,14%
2025-04,石川県,七尾市,0.0,2,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
2025-04,福井県,鯖江市,0.0,4,0%,0%,0%,0%,0%,25%,0%,0%,50%,25%,0%
2025-04,富山県,黒部市,0.0,2,0%,0%,0%,0%,0%,0%,50%,0%,0%,50%,0%
2025-04,富山県,魚津市,0.0,3,0%,0%,0%,0%,0%,33%,0%,33%,0%,0%,33%
2025-04,富山県,滑川市,0.0,1,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
2025-04,富山県,上市町,0.0,3,0%,0%,0%,33%,0%,0%,0%,0%,33%,0%,33%
2025-04,石川県,穴水町,0.0,1,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
2025-04,福井県,敦賀市,-2.0,49,0%,0%,0%,4%,10%,20%,2%,8%,20%,22%,12%
2025-04,福井県,おおい町,-7.1,14,0%,0%,0%,7%,7%,29%,0%,7%,14%,29%,7%
2025-04,福井県,越前町,-9.7,31,0%,0%,0%,13%,3%,6%,10%,19%,26%,13%,10%
2025-04,福井県,美浜町,-11.5,26,0%,0%,0%,8%,4%,23%,4%,8%,27%,8%,19%
2025-04,福井県,高浜町,-50.0,2,0%,50%,0%,0%,0%,0%,0%,0%,50%,0%,0%
2025-04,富山県,朝日町,-100.0,1,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
2025-04,石川県,宝達志水町,-100.0,1,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
2025-05,石川県,羽咋市,100.0,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
2025-05,石川県,穴水町,100.0,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
2025-05,石川県,宝達志水町,100.0,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
2025-05,石川県,能美市,75.0,4,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,75%
2025-05,富山県,上市町,75.0,4,0%,0%,0%,0%,0%,0%,0%,0%,25%,25%,50%
2025-05,富山県,立山町,54.3,35,0%,0%,0%,6%,0%,6%,0%,0%,23%,6%,60%
2025-05,石川県,七尾市,50.0,10,0%,0%,0%,0%,0%,0%,0%,0%,50%,30%,20%
2025-05,石川県,加賀市,50.0,34,0%,0%,0%,0%,0%,3%,0%,6%,38%,12%,41%
2025-05,富山県,魚津市,50.0,38,0%,0%,0%,0%,3%,5%,5%,5%,18%,16%,47%
2025-05,石川県,志賀町,50.0,2,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,50%
2025-05,富山県,黒部市,46.6,58,0%,0%,2%,0%,0%,2%,5%,7%,29%,7%,48%
2025-05,富山県,富山市,45.7,140,0%,1%,0%,2%,2%,4%,4%,11%,19%,8%,50%
2025-05,富山県,高岡市,41.9,93,0%,1%,2%,1%,0%,5%,2%,13%,22%,8%,46%
2025-05,富山県,朝日町,40.0,15,0%,0%,0%,0%,13%,7%,0%,0%,20%,20%,40%
2025-05,富山県,入善町,40.0,10,0%,0%,0%,0%,10%,0%,0%,10%,30%,10%,40%
2025-05,石川県,金沢市,38.4,237,0%,0%,2%,1%,2%,3%,3%,9%,31%,13%,36%
2025-05,富山県,滑川市,37.0,46,0%,0%,0%,2%,0%,4%,2%,11%,35%,11%,35%
2025-05,富山県,砺波市,36.3,102,0%,1%,0%,2%,0%,7%,4%,18%,19%,9%,41%
2025-05,福井県,勝山市,34.5,502,0%,0%,1%,1%,1%,7%,5%,10%,23%,11%,40%
2025-05,石川県,白山市,34.0,50,0%,0%,2%,2%,2%,8%,6%,14%,12%,14%,40%
2025-05,富山県,氷見市,30.8,104,0%,2%,3%,2%,1%,9%,3%,10%,21%,7%,43%
2025-05,富山県,小矢部市,28.6,21,0%,0%,0%,0%,5%,5%,5%,24%,19%,5%,38%
2025-05,福井県,福井市,24.6,268,0%,0%,1%,2%,3%,8%,5%,10%,28%,16%,27%
2025-05,福井県,池田町,23.3,133,1%,0%,1%,1%,0%,10%,5%,12%,32%,14%,26%
2025-05,富山県,射水市,21.6,37,0%,0%,0%,3%,0%,5%,14%,11%,24%,16%,27%
2025-05,福井県,越前市,20.0,350,1%,0%,1%,4%,2%,9%,5%,11%,25%,7%,35%
2025-05,石川県,小松市,20.0,20,0%,0%,5%,0%,0%,0%,5%,30%,30%,15%,15%
2025-05,福井県,若狭町,19.8,111,0%,0%,0%,1%,1%,6%,12%,20%,21%,14%,25%
2025-05,福井県,小浜市,19.7,137,0%,0%,1%,3%,0%,9%,5%,13%,32%,12%,25%
2025-05,福井県,あわら市,19.2,229,0%,0%,1%,4%,1%,8%,7%,11%,28%,12%,28%
2025-05,福井県,南越前町,18.9,106,1%,0%,1%,0%,6%,12%,8%,8%,17%,8%,39%
2025-05,福井県,永平寺町,17.8,269,0%,1%,1%,1%,2%,9%,5%,10%,32%,11%,26%
2025-05,福井県,越前町,16.8,131,1%,0%,0%,2%,3%,7%,8%,16%,27%,12%,24%
2025-05,福井県,大野市,12.4,251,0%,0%,2%,3%,2%,9%,7%,14%,28%,11%,24%
2025-05,福井県,坂井市,11.3,150,0%,0%,2%,3%,1%,9%,3%,17%,37%,10%,19%
2025-05,福井県,高浜町,10.0,60,0%,0%,2%,0%,5%,17%,7%,7%,23%,15%,25%
2025-05,富山県,南砺市,7.7,26,0%,0%,0%,8%,4%,8%,0%,19%,35%,12%,15%
2025-05,福井県,鯖江市,5.7,53,0%,0%,0%,2%,4%,13%,9%,13%,25%,11%,23%
