type,count
若狭海遊バザール 千鳥苑 エリア,215
法師旅館,211
チサンバジェット金沢駅前,206
タケフナイフビレッジ エリア,202
高岡市,195
たちばな四季亭,192
ホテルウィングインターナショナルプレミアム金沢駅前,191
武生駅 エリア,188
砺波市,175
石川県立美術館,170
水晶浜 エリア,166
竹田エリア,165
小浜市まちの駅 エリア,164
ゆのくに天祥,164
ホテル・トリフィート金沢,162
今庄宿 エリア,155
航空プラザ,150
北前船主の館 右近家 エリア,147
兼六園,142
大江戸温泉物語Premium 山下家,142
スーパーホテルPremier金沢駅東口,141
千里浜レストハウス,130
芝政ワールド エリア,127
若狭和田 エリア,126
射水市,126
黒部市,124
石川県観光物産館,121
能登食祭市場,121
魚津市,121
越前海岸 高佐米ノ旅館街 エリア,120
石川県政記念しいのき迎賓館,116
若州一滴文庫 エリア,110
コスモアイル羽咋,110
トリフィートホテル&ポッド金沢百万石通,107
箸のふるさと館WAKASA エリア,104
ひがし茶屋休憩館,102
ダイワロイネットホテル金沢MIYABI,102
立山町,101
山代温泉　総湯,98
長町武家屋敷休憩館,93
大江戸温泉物語 あわづグランドホテル,90
ホテルマイステイズプレミア金沢,89
大江戸温泉物語Premium 山中グランドホテル,88
屋内木育施設 もりのひみつきち,84
ＨＯＴＥＬ金沢　兼六荘,82
温泉めい想倶楽部　富士屋旅館,82
「安宅の関」こまつ勧進帳の里,81
南砺市,81
日本自動車博物館,77
大江戸温泉物語Premium よしのや依緑園,73
のと里山空港,73
河野北前船主通りエリア,72
西茶屋資料館,70
道の駅のと千里浜,69
からくり記念館,67
兼六駐車場,67
気多大社,67
湖畔の宿　森本,66
越前漁港 エリア,65
変なホテル　小松駅前,62
滑川市,61
大安禅寺 エリア,60
ホテルマイステイズ金沢キャッスル,60
月うさぎの里,60
金沢蓄音器館,57
道の駅めぐみ白山,54
ホテルインターゲート金沢,53
白峰温泉総湯,52
金沢港クルーズターミナル,48
ランプの宿,48
金沢マンテンホテル駅前,47
加賀市観光情報センター　KAGA旅・まちネット,47
赤礁崎オートキャンプ場 エリア,46
北陸自動車道　尼御前ＳＡ（下り）,45
神子の里,45
小矢部市,45
波松 エリア,44
大江戸温泉物語 山中彩朝楽,44
加賀屋,44
上市町,44
朝日町,43
石川県森林公園三国山キャンプ場,42
九谷セラミック・ラボラトリー（CERABO KUTANI）,42
安江金箔工芸館,40
刃物の里 エリア,39
那谷寺,38
のとや,38
大江戸温泉物語 山代彩朝楽,37
茜や,36
小松カントリークラブ,36
金沢東急ホテル,35
お花見久兵衛,35
休暇村能登千里浜,35
水島 エリア,34
アパホテル〈金沢駅前〉,34
スーパーホテル石川・能美根上スマートインター,34
ホテルルートイン金沢駅前,33
湯快リゾート 縁起の宿 矢田屋松濤園,33
昭和湯治の宿 緑華苑,32
眠音ホテル,30
和倉温泉お祭り会館,30
,30
北陸自動車道　徳光ＰＡ（上り）,29
ザ・スクエアホテル金沢,28
越前海岸 茂原民宿街 エリア,27
石川県立音楽堂,27
東横イン金沢兼六園香林坊,27
ホテルアマネク金沢,27
夢ミルク館（ホリ牧場）,27
いこいの村能登半島,27
片山津温泉　総湯,26
和餐　伸,26
金沢カプセルホテル武蔵町,25
入善町,25
妙立寺,24
ホテルアローレ,24
美浜町健康楽膳拠点施設こるぱエリア,23
ホテルトレンド金沢駅前,23
金沢能楽美術館,23
近江町市場商店街,23
葉渡莉,23
吉田屋山王閣,23
道の駅「高松」,22
こまつ曳山交流館みよっさ,22
すゞや今日楼,21
九頭竜川 エリア（鮎・釣り）,20
「里山健康学校」せせらぎの郷,20
道の駅「こまつ木場潟」,20
白山市観光情報センター,20
アドベンチャーガーデン能美,20
九谷陶芸村,20
大江戸温泉物語 わんわんリゾート　粟津,20
ＡＢホテル金沢,19
ハイパーホテル小松,19
ウェルネスハウスSARAI,19
Blue Hour Kanazawa,18
魚料理・民宿 やまじゅう,18
加賀国府ものがたり館,18
山中温泉総湯（菊の湯）,18
道の駅すずなり,18
道の駅とぎ海街道,18
町家ホテル　町の踊場,17
KKRホテル金沢,17
季がさね,17
かがり吉祥亭,17
ホテルエコノ金沢駅前,16
古民家レストラン茅葺庵,16
Royal Hotel 能登,16
のと里山海道　西山パーキング,16
ＨＯＴＥＬゆめのゆ,15
今井金箔広坂店,15
みやびの宿加賀百万石,15
道の駅狼煙,15
食事処縁,15
青葉山ハーバルビレッジ エリア,14
北陸自動車道　不動寺ＰＡ（上り）,14
ANAホリディ・イン金沢スカイ,14
大江戸温泉物語 ながやま,14
穴水駅,14
ホテルアリヴィオ,14
1日1組限定　泊まれる映画館　鼓,13
加賀友禅会館（加賀友禅ミュージアムそめりあ）,13
湯の出,12
タイムズカーレンタル 金沢駅店,12
かのや光楽苑,12
まつさき,12
花・彩朝楽,12
喜多八,12
サイエンスヒルズこまつ ひととものづくり科学館,12
和倉温泉観光案内所,12
倶利伽羅塾,11
古民家ゲストハウス結舎-YUINOYA-,11
道の駅あなみず,11
お宿やました,10
ＪＲ西日本レンタカー＆リース（株）金沢営業所,10
前田土佐守家資料館,10
道の駅一向一揆の里,10
翠明,10
志雄パーキング（下り）,10
IR津幡駅,9
金沢フレックスホテル,9
ホテルグランビナリオKOMATSU,9
松任CCZ温泉,9
能美ふるさとミュージアム,9
粟津温泉　総湯,9
旅亭 萬葉,9
大江戸温泉物語Premium 加賀まるや,9
道の駅桜峠,9
石川四高記念文化交流館,8
今井金箔本店,8
ホテルビスタ金沢,8
金沢湯涌夢二館,8
満天ノ　辻のや,8
宝達山　新山の龍宮城,8
群青の月,7
香林坊大和,7
湯快リゾート　NEW MARUYAホテル,7
北陸自動車道　徳光ＰＡ（下り）,7
道の駅しらやまさん,7
オーベルジュ オーフ,7
鶴来駅,7
兜ガーデンファーム,7
INOVA金沢駅前ホテルsuite,6
ゲストルーム金沢心音,6
Minn 金沢,6
金沢茶屋,6
四季の彩アパートメントホテル金沢,6
金沢21世紀美術館,6
かがにこにこパーク,6
ホテルエアポート小松,6
菜さい,6
片山津ゴルフ倶楽部ロッジ　北稜,6
SDGs　BASE　AQUA+,6
加賀の宿宝生亭,6
華友禅 菊屋,6
大江戸温泉物語わんわんリゾート　矢田屋松濤園,6
湯涌温泉かなや,5
北陸自動車道　不動寺ＰＡ（下り）,5
スマイルホテルプレミアム金沢東口駅前,5
ホテルトレンド金沢片町,5
金沢セントラルホテル,5
北陸鉄道　金沢駅,5
金沢エムザ,5
（株）トヨタレンタリース石川 小松空港前店,5
湯快わんわんリゾート矢田屋松濤園,5
石川県立白山ろく民俗資料館,5
道の駅輪島,5
ペンション＆カフェ　クルーズ,5
龍屋,5
新庄 渓流の里 エリア,4
ホテル金沢,4
BENJAMIN HOTEL,4
ホテル花イチリン,4
金沢家,4
北陸鉄道　野町駅,4
金沢国際ホテル,4
金沢市老舗記念館,4
ダイヤモンド片山津温泉ソサエティ,4
千代女の里俳句館,4
リブマックスリゾート加賀山代,4
ホテルききょう,4
ホテルルートイン美川インター,4
胡蝶,4
全室オーシャンビューの宿　能登小牧台,4
珠洲温泉　のとじ荘,4
ホテルウェルネス能登路,4
タウンホテル・フォーティワン,3
Good Neighbors,3
ウェスキーホテル / Weskii Hotel,3
ゲストルーム心音-金澤表参道-,3
てらまちや風心庵,3
たがわ龍泉閣,3
ホテル　ジョイ,3
千丈温泉　清流,3
旅館かのや,3
瑠璃光,3
松井秀喜ベースボールミュージアム,3
白山市観光連盟（鶴来支所）,3
セミナーハウス望岳苑,3
ゆ湯の宿白山菖蒲亭,3
ホテルのときんぷら,3
体験交流施設　ラブロ恋路,3
羽咋駅(東口),3
宝達山　こぶしの路,3
ホテル羽音碧々,3
巌門,3
SAKON UKON,2
変なホテル金沢　香林坊,2
天然温泉リラックスパーク　テルメ金沢,2
ユニゾイン金沢百万石通り,2
押寿し体験厨房　金澤寿し,2
石川県銭屋五兵衛記念館,2
憩いの森,2
北陸自動車道　尼御前ＳＡ（上り）,2
湯快リゾート 彩朝楽,2
松任駅,2
小松フレックスホテル,2
道の駅瀬女,2
アパホテル〈小松〉,2
ペンシオーネセイモア,2
Yahataすしべん能美根上インター店,2
九谷焼美術館 (浅蔵五十吉記念館),2
かに 荒磯料理　志麻,2
九谷焼美術館（職人工房）,2
白山白峰恐竜パーク,2
星野リゾート 界 加賀,2
七尾駅観光案内所,2
道の駅織姫の里なかのと,2
真脇ポーレポーレ,2
民荘太左ェ門,2
旅館やまもと,2
道の駅「いおり」,2
わんこと泊まれる宿　旅宿やす田,2
道の駅「赤神」,2
OKNO to Bridge,2
民宿　わじま,2
のと楽,2
アパホテル〈金沢野町〉,1
ニッポンレンタカー 金沢営業所,1
金沢白鳥路　ホテル山楽,1
金沢ニューグランドホテルプレミア,1
大丸庵,1
アパホテル〈金沢中央〉,1
内灘町サイクリングターミナル,1
ひがしやま祥、,1
MALLOWK,1
旅籠屋ゆいまーる,1
石川県立能楽堂,1
ホテルひので屋,1
金澤の宿 桜橋,1
蒼風庵,1
ひこそのまちやど,1
ビジネスホテル　レマン,1
金澤湯涌温泉 百楽荘 別邸神楽KAGURA ,1
ガーデンホテル金沢,1
天然温泉加賀の宝泉　御宿野乃金沢,1
いしかわ赤レンガミュージアム,1
きくのや旅館,1
金沢湯涌温泉　百楽荘　神楽,1
旧涌波家住宅,1
西田幾多郎記念館,1
團十郎芸術劇場うらら,1
ふれあい健康広場,1
グランドホテル白山,1
囲炉裏のある古民家ゲストハウスゆの,1
ニュー松任ターミナルホテル,1
セミナーハウスあいりす,1
B&B NEAGARI,1
手取フィッシュランド,1
松任ターミナルホテル,1
片山津温泉インフォメーションセンター,1
おびし荘,1
白山市観光情報センター「吉野工芸の里」,1
白山セミナーハウス望岳苑,1
森の栖,1
ハーブの里・響きの森ミントレイノ,1
こまつドーム,1
ホテルつるのや,1
研修交流館　白山里,1
石川ルーツ交流館,1
古民家の宿　忠平,1
加賀温泉駅,1
緑華苑,1
ATAKACAFE,1
One・Day・Fam,1
キャッスル真名井,1
民宿石坂荘,1
シーサイドヴィラ渤海,1
ペンションタイムリー,1
農家民宿　三平,1
農家民宿たなか,1
田舎の宿 いろり庵,1
能登里山暮らし　古民家こずえ,1
御宿つむぎ庵,1
国民宿舎　柳田温泉　能登やなぎだ荘,1
百年町家『佐野邸』,1
喜多家,1
志賀町総合体育館,1
シモグチ,1
ビジネスホテル やまぐち,1
能登島水族館,1
