type,count
あわら湯のまち エリア,4442
大本山 永平寺 エリア,3869
越前そばの里 エリア,3845
福井駅前 エリア,2836
かつやま恐竜の森 エリア,2494
一乗谷朝倉氏遺跡 エリア,2026
越前大野城・城下町 エリア,1924
道の駅「南えちぜん山海里」 エリア,1905
道の駅「越前」 エリア,1514
北陸新幹線 越前たけふ駅 エリア,1448
道の駅「恐竜渓谷かつやま」 エリア,1444
宿泊先,1385
JR敦賀駅前 エリア,1362
のとじま水族館,1348
丸岡城 エリア,1328
かずら橋 エリア,1302
金ヶ崎 エリア,1268
JR美浜駅 エリア,1229
道の駅「若狭おばま」 エリア,1214
小松空港,1172
道の駅「三方五湖」  エリア,1158
うみんぴあ大飯 エリア,1148
明通寺 エリア,1140
レインボーライン エリア,1122
道の駅「越前おおの荒島の郷」 エリア,1049
福井駅前 エリア（宿泊施設）,1010
金沢中央観光案内所,992
石川県立図書館,990
北潟湖 エリア,955
三国湊 エリア,930
東尋坊 エリア,844
熊川宿 エリア,784
道の駅みくに ふれあいパーク三里浜 エリア,739
花の駅 ゆりの里公園 エリア,709
日本海さかな街 エリア,705
紫式部公園 エリア,698
JR芦原温泉駅 エリア,675
若狭フィッシャーマンズワーフ エリア,645
道の駅「禅の里」 エリア,645
JR九頭竜湖駅 エリア,644
道の駅「パークイン丹生ヶ丘」 エリア,636
KOKOHOTEL Premier 金沢香林坊,623
金沢城公園,617
道の駅「西山公園」 エリア,597
小浜市 阿納 エリア,593
小浜 エリア（宿泊施設）,560
まちの市場 こってコテいけだ エリア,553
越前松島水族館 エリア,517
ふくい鮮いちば エリア,515
フルーツライン エリア,508
湖上館パムコ（水月湖）エリア,487
石川県立歴史博物館,473
名田庄 エリア,467
御食国若狭おばま食文化館 エリア,455
尾山神社,453
越前陶芸村 エリア,444
ふれあい昆虫館,440
スーベニアショップふらぷとる エリア,436
スーベニアショップ ラプトル エリア,428
道の駅「シーサイド高浜」 エリア,421
はたや記念館 ゆめおーれ勝山 エリア,418
えちぜん鉄道 松岡駅 エリア,416
富山市,403
金沢駅,391
劔神社 エリア,386
北ノ庄 エリア,384
氷見市,380
名勝 養浩館庭園 エリア,368
いしかわ動物園,350
美浜町レイクセンター エリア,337
平泉寺白山神社 エリア,333
メガネストリート エリア,322
トレインパーク白山,320
だるまちゃん広場 エリア,318
越前海岸 越前岬 エリア,315
越前海岸 北部 エリア,307
六呂師高原 エリア,303
敦賀市立博物館 エリア,300
えちぜん鉄道 永平寺口駅 エリア,295
うるしの里 エリア,277
小松市観光交流センター Komatsu九,268
越前和紙の里 エリア,266
スキージャム勝山 エリア,266
加賀伝統工芸村　ゆのくにの森,258
越前大仏 エリア,251
神楽通り エリア,238
越前海岸 くりや旅館街 エリア,235
若狭高浜 エリア,230
ポイントバケーション加賀山中,229
