type,count
県内在住です。大人2人と未就学児童,1
親子三代15人,1
従妹,1
30台の息子と、私（母）,1
同居人,1
会社,1
研修旅行,1
子供２名,1
登山グループ,1
妹、夫,1
ロケ,1
夫婦、親、姉妹,1
親戚三家族,1
学生時代 友人,1
地域行事,1
フクビ会,1
親族27人,1
夫婦＋義理両親と,1
喜寿のお祝い,1
夫婦と夫の母親,1
所属しているメンバー,1
息子夫婦,1
観光,1
親せき,1
三世代親子、親戚　９名,1
台灣から来日客,1
学びの仲間で合宿,1
中学生、未就学児連れの家族,1
夫婦2人の2家族,1
忘年会,1
利用者さん,1
夫婦二人と義姉,1
コンサート,1
職場のOGの先輩方,1
3世代3家族,1
子ども夫婦,1
祖父母と叔父夫婦と両親と姉,1
家族、祖父祖母,1
福井駅に遊びに来た,1
一族7人,1
夫婦＋友人,1
親、兄家族、兄の義母、姉家族,1
母、妹、娘,1
母･姉･姪,1
新年会,1
好きな人,1
親と子どもの3世帯,1
友達夫婦4人,1
オーストラリアからの来客,1
ビジネス,1
福井県に住んでいます。,1
お世話になっている先生,1
夫婦と友人夫婦,1
小学生2人,1
全国的な会議,1
親と兄弟家族と自分の家族,1
親、姉妹と共に,1
姪,1
小学生以下の家族と両親,1
三世代三家族,1
いとこや,1
祖父母と孫3人,1
子どもとその友人,1
親きょうだい,1
協会の集まり,1
夫婦2人とその友人1人,1
叔母3名,1
妻、娘、孫,1
母親、姉、息子と。,1
法事,1
ペットと私,1
夫婦、社会人の子供2人,1
夫婦二人と犬一頭,1
職場の後輩達,1
仕事仲間の家族と自分の家族,1
夫婦と義理母,1
家族と姉,1
小学生以上家族,1
夫婦2人と叔母,1
夫婦　娘家族,1
小学生連れの友人,1
小学生中学生高校生連れの家族,1
妻と友人夫婦,1
もともと福井県民,1
娘家族と,1
親とその他家族（夫、兄弟）,1
夫婦と義弟,1
陶芸祭りでフラダンス踊りました,1
知人友人,1
父親と姉と3人で,1
夫婦2人、母,1
福井市に居住しております。,1
夫婦二人と愛犬一匹,1
ツアー参加に夫婦で参加,1
親、姉,1
親と兄夫婦,1
女性会,1
風呂友達,1
県外の妹と合流,1
祖父母と小学生以下家族,1
写真クラブ,1
親と親戚,1
親子と義父母,1
祖門会役員,1
夫婦と家族１人,1
親子3世代旅行,1
親、兄弟家族,1
親子四台,1
仕事の取り引き先,1
